,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
325,,,,,5133401.0,,,results_vector_mlir_sparsity_75_stride_1,75,1,8
326,,,,,,1148162.0,,results_vector_mlir_sparsity_75_stride_1,75,1,8
327,,133575.0,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,8
328,13573.0,,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,8
329,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,8
330,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_2,75,2,8
331,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_2,75,2,8
332,,,,,5537474.0,,,results_vector_mlir_sparsity_75_stride_2,75,2,8
333,,,,,,1149774.0,,results_vector_mlir_sparsity_75_stride_2,75,2,8
334,,133789.0,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,8
335,13416.0,,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,8
336,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,8
337,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_3,75,3,8
338,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_3,75,3,8
339,,,,,5224963.0,,,results_vector_mlir_sparsity_75_stride_3,75,3,8
340,,,,,,1149236.0,,results_vector_mlir_sparsity_75_stride_3,75,3,8
341,,133848.0,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,8
342,13483.0,,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,8
